NumericId,Id,Name
1,1713A5AE-2F98-49B0-B3C8-3875213E96DD,ElementCreated
2,CF6119BB-3ABC-4BA4-96E7-B9DEDEA6A405,ElementUpdated
3,F09AC448-66E9-4FEF-A0F9-066406F2A094,ElementDeleted
4,D4F1B876-190F-437D-9B4A-72A2E58BA85B,ElementShared
5,2B5C43C1-07FF-439F-952A-703D3DAD1177,ElementStarted
6,35525E1E-3210-4C32-9D77-6458B2ED2F66,ElementStopped
7,EE1F923E-2E8C-457A-8FE5-F6D4EFA6D085,BoardCreated
8,52C953F5-01D1-4D92-8913-E14342FE9A1A,BoardUpdated
9,06F9500E-52B6-4119-A75C-9B12136F9A75,BoardDeleted
10,D50F0C47-28B3-4106-8801-99564BE8451E,BoardShared
11,A55472D9-5246-49C1-92F1-DD047C2492F5,BoardStarted
12,C164B223-0FBB-4B8C-B2EF-A679D9F38988,BoardStopped
13,4DE82C5A-1475-4FD0-A455-AC8DD8A44B0E,EnvironmentCreated
14,336ECCED-5D91-4A79-8D42-25BE88B9C7A0,EnvironmentUpdated
15,E228FD9C-1ED5-4D44-9B82-094220A83F4A,EnvironmentDeleted
16,DACB8E1B-F5AF-4F75-A727-8243B2851291,EnvironmentUsed
17,DF10B43E-7EF8-4A46-87D9-06EC291BFF97,LayoutCreated
18,F0DABF54-50D4-4FE7-BB58-FD575F8E7F81,LayoutUpdated
19,FA8B7F3A-0872-460A-86F2-5521776FEEB4,LayoutDeleted
20,708AC6CA-509C-4945-84FF-3BAB0F21CF6B,LayoutUsed
21,084F0CB9-0BF1-4F83-970A-2628402D3E9F,FolderCreated
22,45924F82-D00B-442B-AC88-F98D3075FE09,FolderUpdated
23,9254F255-2D10-41C8-A999-67D7A9B66FA6,FolderDeleted
24,DC7FC2E6-CEEF-41CC-BC84-6656C64187BB,TagCreated
25,757301AE-2FCD-4E18-8315-F3045891A642,TagDeleted
26,AC87938F-14E6-4EED-8022-495949C2664B,TemplateCreated
27,04CE32A0-98D4-4651-BE5E-A39B4F38FEE9,TemplateUpdated
28,DE15B52E-7AFB-4778-BE30-12A27F01ADC0,TemplateDeleted
29,4072F0A2-2587-4E69-BFC3-6EAF10F6E482,UserGroupCreated
30,838E1979-BC53-41D1-BBFE-787F459D5F64,UserGroupUpdated
31,98851682-A957-43A0-B78A-E4D0492E5161,UserGroupDeleted
32,4440DBA8-B287-4038-8085-82BD2B0E10AC,RoleCreated
33,68850F3E-223D-47E1-A5BC-359D86E78FA4,RoleUpdated
34,DA5E7AD0-D2FA-42CC-AE39-75A59D7ACF48,RoleDeleted
35,B4DB8BAB-D5C0-4F06-8A32-A2BF796C132B,UserCreated
36,0B85AEC4-24FF-4222-BC5D-DD60AB5E6974,UserUpdated
37,C40ABB13-2957-4FF2-993E-71441F50C8EC,UserDeleted
